Site,Lat,Long,Plant_year,Remark
BangorDIVERSE,53.23,-4.02,2004,temporary coordinates
BEF_China,29.11,117.92,2009,temporary coordinates
BiodiversiTREE,38.89,-78.16,2013,temporary coordinates
BIOTREE_Kal,50.780937,10.230808,2003,temporary coordinates
CM.Hartshorne,51.3,0.63,2011,temporary coordinates
CM.Hucking,51.3,0.63,2011,temporary coordinates
CommuniTree,44.67,-0.77,2009,temporary coordinates
FORBIO_Ged,49.995833,4.976667,2010,temporary coordinates
FORBIO_Hek,51.165,5.311667,2012,temporary coordinates
FORBIO_Zed,51.15,3.12,2010,temporary coordinates
Gazi_Bay,-4.47,39.48,2004,temporary coordinates
IDENT.auclair,47.69672,-68.65626,2009,temporary coordinates
IDENT.cloquet,46.703377,-92.46801,2009,temporary coordinates
IDENT.MAC,40.237102,8.716,2009,temporary coordinates
Kreinitz,51.33,13.36,2005,temporary coordinates
ORPHEE,44.67,-0.77,2008,temporary coordinates
Parker_caging,38.87,-76.55,2011,temporary coordinates
Ridgefield,-32.48,116.97,2010,temporary coordinates
Sabah,5.09,117.64,2010,temporary coordinates
Sardinilla,9.32,-79.63,2001,temporary coordinates
Satakunta,61.72,21.98,1999,temporary coordinates
